=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1966600 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966700 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966800 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966900 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967000 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967100 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967200 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967300 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967400 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967500 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967600 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967700 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967800 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1967900 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1968000 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1968100 | BTNL: 1 | BTNR: 1      | LEDL: 1 | LEDR: 1
Time: 1968200 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1968300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
